,PitchNo,Date,Time,PAofInning,PitchofPA,player_name,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,release_pos_z,release_pos_x,release_extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,pitch_type_code,pitch_type,height_in_inches,interaction,arm_angle,xiVB,iVB_oe,most_common_fb,avg_RelSpeed,avg_release_pos_x,avg_release_pos_z,avg_HorzBreak,avg_InducedVertBreak,platoon_state,count,xrv
0,1,2024-09-13,15:50:00.60,1,1,Barron Sawyer,1000226420,R,PUR_BOI,"Anderson, Eli",1000266229,Left,PUR_BOI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.75477,-4.01438,-3.738019,2209.117431,186.229383,12:15,5.86551,1.66982,5.97362,-13.82556,18.20635,1.87016,0.97775,-1.64465,85.51814,-6.650966,-3.403091,0.407345,,,,,,,,,,,,-2.03996,10.8367,-1.37466,50.0,5.53902,8.7761,-135.57912,-9.92809,-3.7836,30.62467,-12.07489,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,5d07a930-7209-11ef-8c9b-7717dbc15fe2,92.53189,,,8.23664,,,,,,,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:50:00.60,2024-09-13T15:50:00.6040352-04:00,2024-09-13T19:50:00.6040352Z,,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,4d026fb4-794e-4f39-a5c9-9ff74b6950da,54.52482,-136.59736,15.31234,5.86244,-9.52661,-6.03744,-1.66855,8.9019,-1.8918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,3,Fastball,78.0,2732.9895720035997,29.109130692074288,16.589075,1.617274911499024,Fastball,94.43732529411764,1.6427129411764707,5.851101764705882,9.561775294117648,14.84950411764706,1,0,0.0653403597646302
1,2,2024-09-13,15:50:12.73,1,2,Barron Sawyer,1000226420,R,PUR_BOI,"Anderson, Eli",1000266229,Left,PUR_BOI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.89911,-2.604059,-1.601895,2250.098709,183.357089,12:00,5.99963,1.75244,5.87625,-13.15784,18.03123,0.99721,2.48198,0.34738,86.44994,-5.127678,-1.423066,0.401951,,,,,,,,,,,,-0.96728,10.26245,-1.6235,50.0,5.78128,3.80312,-137.62507,-6.63725,-1.84935,31.44631,-12.55362,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,64387b30-7209-11ef-8c9b-7717dbc15fe2,93.77378,,,8.44917,,,,,,,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:50:12.73,2024-09-13T15:50:12.7349536-04:00,2024-09-13T19:50:12.7349536Z,,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,edbde9ff-ef14-4be9-854d-db4e953b5c73,54.62097,-138.6769,15.72315,5.99626,-6.21735,-6.27681,-1.75175,3.86498,-0.92468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,3,Fastball,78.0,2749.915411425,28.05816831251901,12.772093,5.259137180786134,Fastball,94.43732529411764,1.6427129411764707,5.851101764705882,9.561775294117648,14.84950411764706,1,3,-0.007313823052459156
2,3,2024-09-13,15:50:24.03,1,3,Barron Sawyer,1000226420,R,PUR_BOI,"Anderson, Eli",1000266229,Left,PUR_BOI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,95.26068,-2.663211,-1.94166,2340.860403,219.07097,1:15,5.91071,1.70643,6.27984,-18.45536,11.58461,8.71658,1.91485,0.64246,88.17549,-6.123458,-0.36566,0.394477,93.14662,13.697294,-12.310253,2328.024839,105.31187,19.18169,-31.77096,238.82529,238.82529,-21.783124,2.392732,-5.04701,6.95595,-1.56738,50.0,5.70484,4.33548,-138.457,-7.03725,-9.90787,27.64298,-18.51869,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,6aff19b0-7209-11ef-8c9b-7717dbc15fe2,95.55051,19.70258,,7.08519,,,,2.23702,2.02541,-0.64121,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:50:24.03,2024-09-13T15:50:24.0307488-04:00,2024-09-13T19:50:24.0307488Z,LineDrive,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,bc1a7e60-cc0c-4c8a-af74-528f56056508,54.22184,-139.29734,13.82149,5.91021,-6.47428,-9.25935,-1.70375,4.63668,-4.95394,115.438577,2.23703,129.67752,-23.86259,5.07885,-1.01372,0.16095,-0.02073,0.00198,-9e-05,2.02541,32.34943,-15.58128,0.66267,0.07367,-0.04491,0.01397,-0.00213,0.00013,-0.6412,-28.29887,-8.37469,3.77913,-1.21613,0.31181,-0.0644,0.00902,-0.00061,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,3,Fastball,78.0,2895.2284207392,34.52765290966874,14.597146,-3.012536034240723,Fastball,94.43732529411764,1.6427129411764707,5.851101764705882,9.561775294117648,14.84950411764706,1,4,-0.00795741884792658
3,4,2024-09-13,15:51:01.23,2,1,Barron Sawyer,1000226420,R,PUR_BOI,"Choi, Albert",1000353331,Right,PUR_BOI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.10288,-2.432438,-3.461356,2258.108854,177.980471,12:00,5.87387,1.61092,6.16979,-15.2395,17.48115,-0.57961,2.35175,-1.63832,84.24492,-5.339761,-3.565574,0.411702,,,,,,,,,,,,-0.66583,10.03201,-1.34829,50.0,5.68132,8.09964,-133.50459,-6.10404,-1.2015,28.77922,-14.07071,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,8126cad0-7209-11ef-8c9b-7717dbc15fe2,91.55277,,,7.85796,,,,,,,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:51:01.23,2024-09-13T15:51:01.2351776-04:00,2024-09-13T19:51:01.2351776Z,,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,5bb2d989-99f5-472e-a6e7-8dae1efb1c3a,54.32818,-134.43437,14.38961,5.87117,-5.64945,-7.03535,-1.6106,8.13845,-0.60075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,3,Fastball,78.0,2826.7624622094,33.407289363656986,16.672472,0.8086779998779292,Fastball,93.44412307692308,1.6112706153846155,5.791628153846154,7.500045384615385,16.014998153846154,3,0,0.01533815142784735
4,5,2024-09-13,15:51:16.28,2,2,Barron Sawyer,1000226420,R,PUR_BOI,"Choi, Albert",1000353331,Right,PUR_BOI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.89519,-2.207072,-1.884304,2219.788122,180.262782,12:00,5.87917,1.74091,6.15655,-13.87127,17.49009,0.07571,2.68207,0.00574,85.94889,-4.865363,-1.870661,0.403059,,,,,,,,,,,,-0.54811,9.87843,-1.59782,50.0,5.7037,4.47967,-136.26823,-5.62414,-1.03329,29.20876,-13.55083,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,8a130870-7209-11ef-8c9b-7717dbc15fe2,93.51589,,,7.9463,,,,,,,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:51:16.28,2024-09-13T15:51:16.2883872-04:00,2024-09-13T19:51:16.2883872Z,,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,905a1100-93ce-4cb2-9ae3-9f1734364fe2,54.33848,-137.19502,14.60438,5.87533,-5.19417,-6.77541,-1.74047,4.51246,-0.51665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,3,Fastball,78.0,2823.241516953,32.370206692698325,15.717612,1.7724777334594712,Fastball,93.44412307692308,1.6112706153846155,5.791628153846154,7.500045384615385,16.014998153846154,3,3,-0.002927751057255597
5,6,2024-09-13,15:52:15.43,2,3,Barron Sawyer,1000226420,R,PUR_BOI,"Choi, Albert",1000353331,Right,PUR_BOI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.06998,-4.101367,-3.44635,2209.044156,212.885408,1:00,6.02646,1.50753,6.0958,-14.66107,17.67497,10.7204,0.99785,-0.79059,84.83761,-6.902134,-1.519138,0.409275,,,,,,,,,,,,-6.49032,10.60993,-1.24724,50.0,5.7017,7.64129,-134.63943,-10.0801,-11.87417,30.14092,-12.76302,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,ad592f30-7209-11ef-8c9b-7717dbc15fe2,92.0957,,,8.23237,,,,,,,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:52:15.43,2024-09-13T15:52:15.4300000-04:00,2024-09-13T19:52:15.4300000Z,,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,9ca6bb40-6e65-4c30-ab05-a7e4c3948466,54.40208,-135.62132,15.07046,6.0233,-9.66433,-6.38151,-1.50247,8.02811,-5.93709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.69181,1.725115,0.933171,0.791943,0.56157,0.89389,0.81303,-1.44683,4.96991,-1.86359,64.88135,5.20742,-59.90064,-1.43625,86.55911,-3.55066,4.97598,9.1143,-11.13422,-2.01743,-82.57069,11.85838,High,High,High,,,High,Medium,Medium,3,Fastball,78.0,2865.4153997040003,34.96004079186701,16.252846,1.422124235839842,Fastball,93.44412307692308,1.6112706153846155,5.791628153846154,7.500045384615385,16.014998153846154,3,4,0.04095287824830196
6,7,2024-09-13,15:52:46.68,2,4,Barron Sawyer,1000226420,R,PUR_BOI,"Choi, Albert",1000353331,Right,PUR_BOI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Sacrifice,1,1,,93.66915,-2.006736,-2.418984,2227.323658,208.835746,1:00,5.96523,1.51712,6.04142,-16.12312,15.25021,7.90201,2.76122,-0.0654,86.48907,-5.049022,-0.998109,0.403136,96.49783,20.447071,-0.050354,2980.314816,109.91282,37.49398,4.37647,326.08541,319.42071,6.610925,3.971071,-4.69248,8.65032,-1.33281,50.0,5.79982,5.41522,-136.09539,-5.27624,-8.89612,26.84379,-15.77463,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,c004b1e0-7209-11ef-8c9b-7717dbc15fe2,93.49805,48.15391,,7.18009,,,,1.20007,2.75569,0.05175,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:52:46.68,2024-09-13T15:52:46.6870560-04:00,2024-09-13T19:52:46.6870560Z,LineDrive,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,2e1f3835-74a0-4b38-b32d-34ad88b15ef0,54.45958,-136.97219,13.4219,5.96374,-4.761,-7.88731,-1.51443,5.70579,-4.44806,210.840166,1.19916,132.63588,-24.16591,5.3397,-1.231,0.29756,-0.06343,0.00863,-0.0005,2.75691,49.41211,-13.87695,-0.01367,0.27758,-0.12759,0.03387,-0.00428,0.00019,0.05221,-0.12599,6.64048,-2.36111,0.60392,-0.11232,0.01422,-0.00095,1e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,3,Fastball,78.0,2810.9998664747995,33.005459281629996,15.81834,-0.5681303015136727,Fastball,93.44412307692308,1.6112706153846155,5.791628153846154,7.500045384615385,16.014998153846154,3,7,0.013339109494551218
7,8,2024-09-13,15:53:31.94,3,1,Barron Sawyer,1000226420,R,PUR_BOI,"Anderson, Brandon",804244,Left,PUR_BOI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.18154,-2.425706,-0.878171,2306.727547,222.823446,1:30,5.98131,1.47064,6.04143,-17.16922,13.93284,12.06367,2.30302,1.66281,86.80988,-5.65397,1.294096,0.401389,,,,,,,,,,,,-6.49485,8.10579,-1.40888,50.0,5.78278,1.58815,-136.88092,-6.35063,-12.40852,28.23604,-16.6878,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,daee30d0-7209-11ef-8c9b-7717dbc15fe2,93.90491,,,7.37167,,,,,,,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:53:31.94,2024-09-13T15:53:31.9468832-04:00,2024-09-13T19:53:31.9468832Z,,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,16bc42fc-4322-4e9f-863a-e6a1ae98c314,54.45997,-137.79786,14.11802,5.98021,-5.80871,-8.3439,-1.467,1.9911,-6.20426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,3,Fastball,78.0,2818.5819225173996,32.91003379061743,16.556799,-2.623958934936523,Fastball,94.43732529411764,1.6427129411764707,5.851101764705882,9.561775294117648,14.84950411764706,1,0,0.0363575756682238
8,9,2024-09-13,15:53:49.82,3,2,Barron Sawyer,1000226420,R,PUR_BOI,"Anderson, Brandon",804244,Left,PUR_BOI,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.67133,-3.448519,-3.528643,1668.467485,254.016671,2:30,5.67768,1.64036,6.32103,-31.93805,5.41823,15.07583,-0.16979,-0.35732,79.46105,-9.341109,-0.800165,0.439899,,,,,,,,,,,,-8.83658,4.02516,-1.38945,50.0,5.40953,7.11122,-124.25925,-8.48797,-13.91604,23.21025,-25.83515,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,e59da240-7209-11ef-8c9b-7717dbc15fe2,85.68427,,,6.21028,,,,,,,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:53:49.82,2024-09-13T15:53:49.8282272-04:00,2024-09-13T19:53:49.8282272Z,,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,01263763-66d7-4262-8666-0dd589f43f42,54.18136,-125.03785,11.60513,5.67972,-7.62132,-12.91757,-1.63583,7.57804,-6.95802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,0,ChangeUp,78.0,2799.3252776112,30.538512804013298,8.319866,-2.9016361804199216,Fastball,94.43732529411764,1.6427129411764707,5.851101764705882,9.561775294117648,14.84950411764706,1,1,0.017944116988474847
9,10,2024-09-13,15:54:08.38,3,3,Barron Sawyer,1000226420,R,PUR_BOI,"Anderson, Brandon",804244,Left,PUR_BOI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,95.40554,-2.177435,-2.340399,2330.889268,214.353562,1:15,5.91434,1.67305,6.34145,-15.74178,14.22205,9.12201,2.59524,0.27734,87.91628,-5.164738,-0.690443,0.393976,104.09813,22.779689,5.881403,2236.242007,109.7783,45.79938,6.9773,390.99847,383.8935,-2.838553,4.906293,-5.38477,8.25693,-1.50708,50.0,5.74824,5.29155,-138.64955,-5.74876,-10.56545,28.6892,-15.9732,PUR_BOI,PUR_BOI,PurdueUniversity,TeamExclusive,Team,20240913-PurdueUniversity-Private-1,f0aa00c0-7209-11ef-8c9b-7717dbc15fe2,95.6718,72.36348,,7.48926,,,,2.3491,2.69757,-0.28307,379d7f77-c474-475c-8434-acf5c2ca95b7,2024-09-13,19:54:08.38,2024-09-13T15:54:08.3831072-04:00,2024-09-13T19:54:08.3831072Z,LineDrive,v3,471415,471415,,"Briggs, Will",806268,Right,PUR_BOI,4d5988d6-2ab0-40b9-af18-90e64319f173,54.15979,-139.50763,14.3446,5.91303,-5.27101,-7.9866,-1.67007,5.60755,-5.28272,159.749305,2.34791,140.05469,-28.27133,7.00507,-1.6581,0.36672,-0.06361,0.0068,-0.00031,2.69981,59.05893,-11.97582,-0.91853,0.59761,-0.20954,0.04444,-0.00499,0.00022,-0.28337,14.43188,-8.72747,2.23691,-0.53463,0.11609,-0.01954,0.00204,-9e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,3,Fastball,78.0,2925.428328654,34.163879189191086,14.844486,-0.6224362365722662,Fastball,94.43732529411764,1.6427129411764707,5.851101764705882,9.561775294117648,14.84950411764706,1,4,0.022206299924717357
